PoTAMOGETON PECTINATUS
Bromus grossus
Tsuga Pattoniana
Reseda vulgaris
episcia melittifolia
Ocimum Basilicum
CoRYDALis FLABELLATA
Ononis hispanica
Teesdalia nudicaulis
Ophrys tenthredinifera
Olea sylvestris
Vinca media
VIOLA ODORATA
Myagrum sativum
Narcissus pseudonarcissus
Prosopis ruscifolia
Solidago Roanensis
Papaver Lecoqii
PSAMMISIA PENDULIFLORA
Asplenium Germanicum
Macradenia mutica
Trifolium officinale
Aethusa Cynapium
LOLIUM TEMULENTUM
Euryale ferox
Bromus molliformis
Salvia tingitana
Chrysanthemum Parthenium
Emblica officinalis
Campanula colorata
Gilia aurea
Arundinaria japonica
Epidendrum Stangeanum
HiERACiuM Pilosella
Udora cordofana
Inula hirta
Vicia sylvatica
Silene saxifraga
PoLYGONATUM MULTIFLORUM
Perdicium lyratum
Euphrasia salisburgensis
Phrynium dichotomum
Lilium candidum
AiRA caryophyllea
Oxalis acetosella
Avena sativa
Veronica Buxbaumii
Cephalaria syriaca
Tulbaghia Ludwigiana
Pyrrhopappus grandiflorus
Uncaria procumbens
Malva Moschata
FRITILLARIA nigra
HiERACiUM SCANICUM
Dichromena pura
Trillium cernuum
Alstroemeria oculata
Euphorbia portulacoides
Chenopodium olidum
Sarcophyte sanguinea
Protea sphaerocephala
Ranunculus altaicus
Valeriana sambucifolia
Alangium Faberi
Aspidium Boryanum
Hoya velutina
Dracaena schizantha
CLEMATIS ORIENTALIS
Cerastium glomeratum
Modecca australis
PLANTAGO lanceolata
Salix lanata
Viola palmata
Actiniopteris australis
Phalangium serotinum
Laurus nobilis
Diapensia lapponica
TRIFOLIUM striatum
Hamelia grandiflora
Scutellaria Ventenatii
Epidendrum Kienastii
Jacaranda rufa
Tridentea moschata
Allium Sintenisii
Talauma stellata
Ranunculus aquatilis
Daphne rupestris
Anthriscus sylvestris
Dichelachne crinita
Salvia triloba
Geigeria intermedia
HoLOSTEUM UMBELLATUM
Tacca Rafflesiana
CLAYTONIA perfoliata
Begonia acutifolia
Salix arbuscula
BESCHORNERIA yuccoides
Santolina africana
Habenaria longecalcarata
Pinus pinea
Sida multifida
Clematis indivisa
Eucalyptus melliodora
Orchis bifolia
EUGENIA fragrans
Justicia nodosa
Cynosurus echinatus
Sapota MUlleri
Agrostemma Githago
Stachys Coccinea
Synthyris reniformis
Lupinus bicolor
Sideroxylon punctatum
Rhodiola rosea
Carex clandestina
Neuracanthus gracilior
Ophrys Nidus-avis
Scaphyglottis violacea
Taxus montana
Plantago altissima
Acanthus arboreus
AvENA ELATioR
Darlingtonia Californica
Anemone alpina
AIRA ULIGINOSA
CocHLEARiA ANGLicA
Ceratonia siliqua
Stachys mollissima
Coursetia axillaris
Mentha perilloides
Limnophila torenioides
Alisma Plantago-aquatica
Capsicum grossum
Convolvulus transvaalensis
Grewia columnaris
Euphorbia Cyparissias
Athamanta Matthioli
Castanea Indica
Hippeastrum stylosum
Deutzia mollis
CHENOPODIUM murale
GENTIANA Pneumonanthe
Xyris indica
Kiesera minor
Eutoca Mexicana
Gerardiina angolensis
Cardamine asarifolia
Saponaria porrigens
Trisetum agrostideum
Euphorbia Portlandica
Goniopteris strigosa
Epimedium Musschianum
PODOLEPIS GRACILIS
Clivia nobilis
OPHIOGLOSSUM VULGATUM
Sobralia chlorantha
Cornus suecica
Plantago azorica
Tunica illyrica
lycium pallidum
Brachystelma tuberosum
Chrysanthemum alpinum
Salix myrsinites
Onopordum illyricum
Otomeria calycina
Andropogon saccharatus
Grevillea Dallachiana
Stenactis annua
Carduus arvensis
HERMANNIA flammea
Veronica angustifolia
Lilium giganteum
Spiraea salicifolia
Polypodium cristatum
Melampyrum sylvaticum
Trifolium strictum
Spergula stricta
SALIX LAPPONUM
Catasetum floribundum
Eupatorium verticillatum
Ballota Hildebrandtii
Pentas carnea
CAREX rariflora
Ophrys paludosa
Chenopodium serotinum
ANTHERICUM Liliago
SALVIA Verbenaca
Scilla bifolia
RuMEX maritimus
QUISQUALIS INDICA
Vaccinium Myrtillus
Polypodium elongatum
Capparis zeylanica
Woodwardia radicans
Euphorbia bupleurifolia
Athyrium alpestre
Andryala nigricans
Zebrina pendula
Convolvulus siculus
Scirpus supinus
Crabbea hirsuta
Casuarina torulosa
Pinus excelsa
RuBUS suberectus
CoRiANDRUM SATIVUM
Allium Porrum
Senecio sechellensis
Hypericum pulchrum
OPHRYS APIFERA
Ophrys fuciflora
Dipteracanthus macranthus
Agrostis rubra
Gilia inconspicua
Rosa villosa
Iris extrafoliacea
Ranunculus tripartitus
Erythrocephalum caudatum
Solanum marinum
Stapelia longidens
Anemone thalictroides
Helianthemum Fumana
Carum copticum
Tacca aspera
VERBASCUM THAPSUS
Bikukulla chrysantha
Welwitschia mirabilis
DIGITALIS lanata
Lavatera triloba
Vitis Bainesii
Echidnopsis cereiformis
Galium verum
Vanda pumila
Stillingia sylvatica
Conospermum ericifolium
Luzula nivea
Marattia laxa
Eylesia buchneroides
Pulmonaria officinalis
Masdevallia Schlimii
Hydnora Africana
Gnaphalium fruticans
Impatiens ramosissima
Tardavel Kaessneri
Bakeria Vitiensis
Prunus prostrata
Cymbidium triquetrum
Hemionitis elongata
PROTEA cordata
Neuwiedia Lindleyi
Avena elatior
Hoya crassifolia
Heliotropium indicum
Peucedanum alsaticum
Polygonum minus
Memecylon Capense
Atriplex portulacoides
Linaria striata
TuRRiTis glabra
Scabiosa arvensis
Helenium autumnale
Canna glauca
Desmoncus major
Acalypha filiformis
Zamia Skinneri
Acidanthera pauciflora
Dorycnium pentaphyllum
Hieracium alpinum
Metrosideros saligna
Rumex scutatus
Centunculus minimus
LEPIDIUM DRABA
Rheum palmatum
Potamogeton Sturrockii
Galium porrigens
Pinus contorta
Lagarinthus macer
Castalia versicolor
Medicago scutellata
Agropyron Donianum
Thymus serpyllum
Disperma scabridum
Geranium magellanicum
Triticum unilaterale
Gomphocarpus eminens
Bravaisia tubiflora
Agrostis tenacissima
Isopyrum uniflorum
Lepidium ruderale
Anaxetum crassifolium
Isolepis fluitans
Boottia scabra
Cassia obtusa
VERONICA PERSICA
Coronopus ruellii
Saxifraga rosacea
Alsine rubra
Premna serratifolia
Acalypha ciliata
POLYGONUM TINCTORIUM
Stephanomeria minor
Arnica Montana
Bupleurum odontites
Vitis incisa
Aloe picta
Euphorbia Nivulia
Heracleum austriacum
Desmodium Lindheimeri
Orchis ustulata
Plantago subulata
Ranunculus anemonoides
CucURBiTA Pepo
Coleonema pulchrum
Erica glauca
Abies Fargesii
Arenaria purpurea
Chenopodium Vulvaria
Daucus rupestris
Salix sphacelata
Lycaste Locusta
Viburnum Opulus
Narcissus Jonquilla
TROLLIUS CHiNENSis
Galium cryptanthum
ROSA ARVENSIS
Echinocactus Ottonis
ANEMONE ranunculoides
Acantholimon laxiflorum
Athyrium Filix-femina
AMOMUM striatum
Rhododendron agastum
Campanula macrostyla
HoYA NicoBARicA
Uvaria calamistrata
Manettia lanceolata
Silene nutans
Rhododendron lapponicum
Schizoglossum Wallacei
SALIX Helix
Rubus arcticus
TRAGOPOGON MINOR
Rhynchosia rhodophylla
Cassytha filiformis
Blechnum Lanceola
COOPERIA CHLOROSOLEN
Eucalyptus rudis
Connarus santaloides
FEDIA ecalyculata
Epipactis Nidus-avis
Orchis rubra
Sisymbrium Sophia
Silene livida
Arenaria grandiflora
PRIMULA Reidii
Montia verna
Arenaria diandra
ABIES LASIOCARPA
Senecio elegans
Poa decumbens
Iberis umbellata
Seseli coloratum
Alsine mucronata
Gnaphalium alpinum
Yucca serratifolia
Colpodium latifolium
Zannichellia pedicellata
Pontederia azurea
Lamium longiflorum
Sagina apetala
Cystopteris regia
Ismene Andreana
Nymphaea elegans
Teucrium fruticans
Abutilon Grevilleanum
Pinus pendula
Matricaria japonica
Cotoneaster Uva-ursi
Laurus aggregata
Ixonanthes reticulata
PiNUS EXCELSA
Orchis militaris
Clethra ferruginea
Veronica verna
Bixagrewia nicobarica
Thlaspi perfoliatum
Habenaria Salaccensis
scorzonera purpurea
Veronica longifolia
Primula grandis
Saxifraga fallax
Satureja montana
Physalis Alkekengi
Rhododendron anthopogon
Tupistra nutans
LOBELIA Erinus
Sclarea vulgaris
Aletris fragrans
ROSA MICRANTHA
Eupteris aquilina
Besleria lutea
CONVOLVULUS Soldanella
Horminum coloratum
RuBus corylifolius
Oxalis Magellanica
TORENIA EDENTULA
Rourea similis
Emblica pisiformis
Mimosa asperata
VIOLA CANINA
Amaryllis Pumilio
Gnidia parvula
Diplotaxis viminea
Thesium decurrens
Medicago falcata
Liquidambar Styraciflua
Marrubium candidissimum
Allium stellatum
Pinguicula vulgaris
Equisetum Telmateia
SciRPus RUFus
Plantago commutata
Cleome Sandwicensis
Bertya Brownii
Rubus macrophyllus
Cryptolepis Gossweileri
Vaccinium Oxycoccos
Rhus diversiloba
Euphorbia stricta
AiRA CAPiLLARis
Phalaris aspera
Alsine viscosa
Campanula lactiflora
Anacardium occidentale
Scabiosa caucasica
SaLICORNIA radicans
Ranunculus nemorosus
HELLEBORUS viridis
Euphrasia confusa
Lappago racemosa
VERBASCUM nigrum
CHRYSANTHEMUM INDICUM
Scabiosa crenata
Polystachya rosellata
Epiphora pubescens
PoTAMOGETON PANORMITANUS
Datura sanguinea
Gentiana montana
Scleranthus annuus
Trixago viscosa
Nicandra anomala
Betula verrucosa
Teucrium Scordium
Juncus coenosus
Hoteia japonica
Fuchsia procumbens
Mackaya bella
Caladium grandifolium
Fimbristylis exilis
Craterostigma chironioides
Sedum latifolium
Brunia globosa
Fumaria media
Lychnis alpina
Salicornia lignosa
Psidium pyriferum
SAGINA BOYDII
EPILOBIUM angustifolium
Fumaria claviculata
Czackia Liliastrum
Prunus Nigra
Beta maritima
RANUNCULUS AURICOMUS
Saccharum japonicum
Caucalis infesta
Aplotaxis obvallata
Ecbolium parvibracteatum
SPERGULA PENTANDRA
Silene longiflora
Mimulus perfoliatus
Agathis australis
CoRNUS sanguinea
Araucaria Cookii
Loasa lateritia
Talauma Villariana
Baccharis trimera
Viola Flettii
HOLOSTEUM umbellatum
Picris pyrenaica
Clibadium Donnell-Smithii
Rhus toxicodendron
Rubus argentatus
Schizoglossum angolense
Thyrsacanthus strictus
Dracaena fragrans
BuTOMUs umbellatus
Medicago denticulata
Primula vernicosa
Sidalcea malachroides
salvia parvifolia
Epacris microphylla
Arctium nemorosum
Gymnocladus Canadensis
Mimulus roseus
Boussingaultia baselloides
Stellaria media
Spergularia segetalis
Aristolochia Ju-ju
Hibiscus Lampas
Daucus carota
Stellaria laxa
Salsola genistoides
Eriophorum polystachion
LILIUM Brownii
Cydonia Japonica
Lobelia Erinus
Agathosma villosa
Crotalaria fenestrata
GLYCINE Apios
Vicia Lutea
Filago apiculata
Davallia angustata
Cheilanthes tomentosa
GLADIOLUS communis
Azalea mollis
ARBUTUS Unedo
Acacia arabica
Sagina procumbens
Agave Virginica
Kalmia latifolia
Matricaria inodora
Lantana Clarazii
AscLEPiAS Petherickiana
Grammatophyllum Ellisii
ORCHIS MASCULA
TULIPA Orphanidea
LIMOSELLA aquatica
Sipanea biflora
Statice reticulata
Quercus densifolia
Orchis arachnites
Gnaphalium minimum
Cyperus Meyenianus
Lepturus tenuis
Abutilon denticulatum
NAJAS MARINA
SALICORNIA herbacea
Hellenia caerulea
LUZULA CAMPESTRIS
Oenanthe pimpinelloides
CROCUS nudiflorus
TULIPA dubia
Myrica microcarpa
Fumaria paradoxa
Cistus marifolius
Ranunculus pedatifidus
Smilax Herbacea
Coronopus Ruellii
Leontodon pyrenaicus
Leontodon taraxacum
Hibiscus syriacus
ALOE reticulata
Osmunda regalis
Epilobium hirsutum
Helosciadium repens
hoya coronaria
Aloe Lingua
Eucomis clavata
Gnaphalium africanum
Salix helix
NARCISSUS Tazetta
Ficus BenJamina
Desmodium retroflexum
Erodium Manescavi
Ervum soloniense
Hexalobus monopetalus
GENTIANA PNEUMONANTHE
Cannacorus ovatus
Fagraea obovata
Teucrium spinosum
Habenaria chlorantha
Pavetta permodesta
Spergula purpurea
Schraderia hastata
Delphinium elatum
Lathyrus splendens
ARTEMISIA STELLERIANA
Centaurea Fenzlii
Brassica pubescens
Linum decumbens
Triticum repens
Pavetta graveolens
Campanula pusilla
Viburnum lantana
Vignaldia Quartiniana
Odina Schweinfurthii
RANUNCULUS TRIPARTITUS
Rafflesia Patma
HIERACIUM prenanthoides
Brassia caudata
Saxifraga crassifolia
Pteris longifolia
Physematium molle
Potamogeton acuminatus
Calendula pluvialis
SALSOLA KALI
Chrysanthemum tatsienense
Scilla campanulata
Salacia rugulosa
Lychnis Viscaria
Ebenus cretica
Cardamine latifolia
Fuchsia affinis
Anagallis arvensis
Nigella arvensis
SYMPHYANDRA Wanneri
Aquilaria ovata
CORNUS SUECICA
Thalictrum maritimum
Salvadora persica
Primula Stuartii
Alyssum halimifolium
Oxytropis Capusii
AspiDiuM AURicuLATUM
Psychotria nesophila
Wedelia frutescens
Cyclobothra pulchella
Cocos lapidea
Arenaria algarbiensis
terminalia pedicellata
Campanula ruderalis
Acalypha Gossweileri
Plantago ramosa
Sisymbrium Nasturtium
Mentha hortensis
Trigonella ornithopodioides
Chelidonium Glaucium
Coleus cuneatus
Onobrychis elegans
Carica Papaya
Mauritia vinifera
LEPIDIUM SMITHII
Helichrysum obconicum
Andromeda Arborea
Manihot dichotoma
Prunus Avium
Physolychnis uralensis
Carpha costularioides
Malva verticillata
Spathodea cauda-felina
Alkanna tinctoria
Rubus durescens
Chrysanthemum viscosum
Protea alopecuroides
Calla aethiopica
Salsola kali
Dracocephalum denticulatum
Eperua falcata
Adina rubescens
Drosera capensis
Peplis Portula
Durio zibethinus
CENTAUREA Jacea
Arenaria quadrivalvis
Coeloglossum viride
Vriesea Malzinei
Ixia lancea
Carpodinus chylorrhiza
Filago germanica
Cyperus gramineus
Viola hirta
Rhododendron barbatum
Adiantum malaliense
Utricularia grandiflora
Catasetum globiflorum
Bartsia alpina
Urania speciosa
BiGNONiA tinctoria
Placea ornata
Grammica suaveolens
Arundo Donax
GLADIOLUS blandus
HiERACiuM subaudum
Lamium purpureum
Achras australis
Carex speirostachya
Calceolaria Darwinii
Dalea enneaphylla
Sedum rotundifolium
Hibiscus vitifolius
Amaranthus tricolor
Fragaria moschata
Calochortus ciliatus
Sarcocephalus esculentus
Spiraea Filipendula
Lonicera bubalina
Rumex Crispus
CENTAUREA macrocephala
Allium ampeloprasum
PoLYSTicHUM ACULEATUM
Lathyrus palustris
Epiblema grandiflorum
Luzula albida
AGAVE Jacquiniana
Corydalis bulbosa
Thalictrum majus
Lopezia macrophylla
Euphorbia Eichleri
Dryas pentapetala
Rosa tomentella
Digitaria Sanguinalis
ANTHEMIS Cotula
Alsine rubella
Symplocos nitens
Solandra laevis
Disa macrantha
SPIRAEA Fortunei
Hermione dubia
Deschampsia brevifolia
Dipsacus minor
PEPLIS Portula
Clematis angustifolia
Heliotropium pallens
Sprekelia Cybister
Callitriche stagnalis
Juncus bottnicus
Barleria Delamerei
Tambourissa Rota
Tetraclea Coulteri
Prunus insititia
Cassia obovata
CALADIUM bicolor
Asplenium ludens
Atriplex angustifolia
Clethra Fabri
Picea Menziesii
Memecylon phyllanthifolium
Buchanania Lanzan
Galium montanum
ScHEucHZERiA PALusTRis
MUSTELIA EUPATORiA
Cornus hongkongensis
Linaria origanifolia
Ophelia vacillans
Campanula hybrida
Althaea frutex
Carpinus Betulus
Carex nardina
Imperatoria angustifolia
SciLLA AUTUMNALis
Cinnamomum dulce
Arundo donax
Stapelia atrosanguinea
Pleurothallis hirsutula
Lathyrus sativus
Zostera nana
Paeonia mas
Gustavia antillana
Myriophyllum elatinoides
Genista ovata
Salix caprea
Erlangea Buchananii
Alona rostrata
Astragalus Blakei
Spartium junceum
Cantua ligustrifolia
TURRITIS glabra
Polygonum mite
PuLicARiA dysenterica
SEDUM glandulosum
Anthurium subulatum
Crepis virens
ScHiNUS MOLLE
Nelumbium Speciosum
PARNASSIA PALUSTRIS
Payena Hillii
MoNocHiLUs GYMNocHiLoiDEs
Scilla amoena
POLYGONUM Hydropiper
Ansellia Africana
Elatine hexandra
POTENTILLA reptans
Panicum supervacuum
Polygala serpyllacea
Ixia crocata
Cornus alba
Sida abutilifolia
Poa alpina
AsPLENiUM Adiantum
STAPELIA Leendertziae
Dipladenia eximia
Xerophyta capillaris
Justicia Betonica
Vahea comorensis
Carex pendula
Vaupelia hispidissima
PAPAVER somniferum
Hakea cristata
Punica Nana
HIERACIUM aurantiacum
Rosa rubiginosa
Cressa Cretica
Pollichia zeylanica
Massonia pustulata
Aira caerulea
IXIA patens
Vitis Henryana
Careya arborea
Dryandra Formosa
Papaver hybridum
Erodendrum tenax
Cassia alata
Luzula vernalis
Asperula dissitiflora
QUERCUS Robur
Abronia umbellata
Lithospermum officinale
Spondias Edmonstonei
Andropogon Schoenanthus
Myosotis alpestris
Barkhausia taraxacifolia
Arum italicum
Carex alpina
Statice spathulata
Saxifraga media
Juncus asper
Parkinsonia aculeata
Prunella laciniata
Viburnum lantanoides
Rudbeckia odorata
Helonias minuta
Cystopteris dickieana
Perymenium lineare
Ilysanthes oblongifolia
Andrachne chinensis
Aspidium erythrosorum
Phyteuma spicatum
Gentiana serrata
Macaranga tomentosa
Epilobium alsinifolium
Davidia involucrata
Ranunculus Ficaria
Nasturtium officinale
Gmelina Asiatica
Eriostemon myoporoides
Narcissus viridiflorus
Arctostaphylos Uva-ursi
ANEMONE coronaria
RANUNCULUS parviflorus
Epidendrum altissimum
APIUM graveolens
Cattleya pumila
Ficus religiosa
Davallia thecifera
Clematis erecta
Sherardia arvensis
ViciA viLLOSA
Liparia villosa
Hordeum nodosum
Arctium vulgare
Hypoxis umbraticola
Brunia nodiflora
JUSTICIA periplocifolia
Crataegus monogyna
Perilla Ocymoides
HIERACIUM Auricula
Gardenia turgida
Adansonia digitata
CocHLEARiA officinalis
Viola riviniana
CREPIS biennis
Gaillonia dubia
lilium roseum
Epipactis grandiflora
Aloe Monteiroi
Solanum nigrum
IRIS variabilis
Ludwigia palustris
Holcus lanatus
Asperula hirta
Scorzonera humilis
Cryptochilus Meirax
Erica modesta
Bursera serrata
Thapsia Garganica
Acrostichum crinitum
Dorema Ammoniacum
Spergula pilifera
Serrafalcus commutatus
terminalia elliptica
Selago fruticosa
Agave Botterii
ROSA CINERASCENS
Pedrosia leptophylla
Colletia horrida
Asclepias carnosa
Mentha crispata
Vicia hybrida
Cerastium cerastoides
Epilobium palustre
Desmanthus punctatus
Diotis atriplicoides
Bupleurum protractum
PEUCEDANUM PALUSTRE
Picris saxatilis
Mespilus Chamaemespilus
ALMEIDEA rubra
MYOSOTIS versicolor
Scilla maritima
Hieracium staticifolium
Centranthus ruber
Mespilus Oxyacantha
Carex montana
Malva pusilla
Gesneria picta
Tilia americana
Cheiranthus asper
Ornithogalum elatum
Apargia Villarsii
Papaver Argemone
Juncus Hostii
Magnolia purpurea
Senecio cineraria
CHRYSANTHEMUM leucanthemum
Galium saxatile
AGAPETES buxifolia
Anchusa officinalis
Impatiens cornigera
Euphorbia apocynoides
Rubus mucronatus
Dirichletia Rogersii
Scirpus maritimus
Polypodium hemitomum
Anemone apennina
Carex panicea
KNIPHOFIA MODESTA
Rhynchopyle Grabowskii
Telephium oppositifolium
Cucumis Melo
SCROPHULARIA NODOSA
Indigofera circinella
Poa distans
POLYGALA CALCAREA
Lobelia gibbosa
Fuchsia Thymifolia
Galeobdolon luteum
Rorippa palustris
Triticum cristatum
Sclerochloa dura
Helichrysum Selago
Dracocephalum canariense
Echinopsis campylacantha
Stellaria Edwardsii
Leea latifolia
Velaga xylocarpa
Pieris Mariana
Ceanothus Fendleri
Camellia Scottiana
Launaea pinnatifida
Apargia hispida
Papaver pyrenaicum
Exacum pedunculatum
Perilla ocymoides
Phragmites vulgaris
Euterpe oleracea
Inula helvetica
Lomaria attenuata
Hedera Helix
Stereoxylon rubrum
Silene Armeria
Maillea Urvillei
Dontostemon dentatus
Zamia muricata
Claytonia caulescens
Pterostigma grandiflorum
Festuca gigantea
Aplotaxis scaposa
Ameletia subspicata
Abutilon crassifolium
Carex arenaria
CLINOPODIUM vulgare
CuscuTA Trifolii
Anchusa angustifolia
Sedum telephium
Phyllanthus tremulus
SALVIA violacea
Acacia Ewartiana
Citrullus Colocynthis
Marginaria incana
SiLENE inflata
Saxifraga cotyledon
Samyda serrulata
Helleborus Viridis
Rhododendron cyanocarpum
Sedum stoloniferum
Aster axillaris
Cola acuminata
Avena flavescens
Sedum Winkleri
Acalypha Forbesii
Potamogeton vaginatus
Arundinaria densifolia
ERICA CILIARIS
Pulsatilla pratensis
Hordeum sylvaticum
Reseda alba
VICIA LUTEA
Calla PALUSTRis
Saxifraga umbrosa
Vicia bithynica
Alnus Oregana
Leea crispa
Pothos celatocaulis
Maranta Galanga
Delostoma Stenolobium
Billbergia thyrsoidea
Thunbergia primulina
Acacia pennata
Hakea macrocarpa
Sinapis monensis
Cinchona Ledgeriana
Geranium rotundifolium
Potentilla recta
Clematis Stanleyi
STELLARIA nemorum
Limonium anglicum
Polygala cordobensis
Ulex Europaeus
Scutellaria minor
Andrographis paniculata
Eranthemum armatum
Doryopteris sagittifolia
Panicum Nealleyi
VIOLA alba
PoTAMOGETON PRAELONGUS
Juncus acutus
HOLOSTEUM UMBELLATUM
DROSERA MACRANTHA
Eugenia Balfourii
Abutilon incanum
ANTHEMIS nobilis
Anemone Francoana
Melocanna bambusoides
Lotus arabicus
Fumaria pallidiflora
Trifolium lappaceum
Asperula strictissima
Microglossa hispida
Acacia macracantha
Erica Aitonia
Lycopodium alpinum
Phylica pinifolia
Holcus Sorghum
Didiscus glaucifolius
Iris fluviatilis
Curculigo brevifolia
Ruppia rostellata
Fadogia graminea
Myrica pubescens
Lonicera Japonica
Prunus japonica
MORICANDIA SONCHIFOLIA
Eragrostis spicata
Hypericum Balearicum
Ipomoea paniculata
Gunniopsis intermedia
Ranunculus scoticus
Eriochrysis porphyrocoma
Antinoria agrostidea
Euphorbia paralias
Hieracium Oreades
LAVATERA SYLVESTRIS
ASPERUGO procumbens
Milium efFusum
Mussaenda frondosa
Trewia nudiflora
Brunia virgata
Radicula Nasturtium
SALVIA virgata
Plectronia Gueinzii
Cypripedium insigne
Radiola Linoides
Pisum maritimum
Anthemis Anglica
Cnicus acaulis
IXIA crocata
Sarcocapnos crassifolia
Scirpus minimus
Sagittaria sagittifolia
Linospadix Forbesii
Teucrium Chamaedrys
Retinispora obtusa
Peucedanum parisiense
MicRosTYLis cHLOROPHRYs
Toddalia glomerata
CARDUUS acaulis
Lotus creticus
Malvastrum antofagastanum
Elymus europaeus
LoLiUM perenne
Macaranga myriolepida
Arundinella stricta
AvENA alpina
Cotyledon rotundifolia
POLYGONUM Convolvulus
Plantago alpina
Cerastium alpestre
Scrophularia peregrina
Ophrys apifera
Erigeron Darrellianus
Galium cinereum
Bignonia Kerere
Uvularia Grandiflora
Lepidium virginicum
FRITILLARIA dasyphylla
Leontodon autumnalis
Asplenium ruta-muraria
Claytonia ALSINOIDES
Rubus Wahlbergii
Arenaria media
OENOTHERA BIENNIS
Acanthorhiza aculeata
Quassia amara
Sempervivum mucronatum
VERBENA officinalis
Sageraea laurina
Achillea pectinata
Pavetta indica
Fumaria Vaillantii
Phlox Pilosa
Coula utilis
ERIOPHORUM capitatum
Galeandra longibracteata
Saccolabium Pechei
Orobanche ramosa
Luzula luzulina
Scrophularia aquatica
Cerastium Apuanum
Primula Poissonii
Spartium scoparium
Melampodium cinereum
Apaturia senilis
Anthyllis Erinacea
